filepath,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_00350_JPG_jpg.rf.58c94aba6905bd6db609f4e8f54c88b3.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_0019_JPG_jpg.rf.ea7d24b33fc0424b2882895a2d4f4513.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_0020_JPG_jpg.rf.a7a9e9641096aceb3699d51207b95ed5.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CLD_008_jpg.rf.0734581ae6ad4d8017d1a93fbf637932.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_0020_JPG_jpg.rf.56391748e203ea6f1ca7da3d5de3ebd5.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CLD_008_jpg.rf.4b51c46b8aedfa5eebf0276ce3e1ad3e.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_00350_JPG_jpg.rf.8f881f2bdd02a317603b90d130b0cedc.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_00350_JPG_jpg.rf.8da6c14c09ae7ced2fe100b0b7590a41.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CLD_013_jpg.rf.53e9caa2461da303b2a1cf10e4b09788.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CMDdh_023_jpg.rf.cd193457d66030b75217604a2bd8b605.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CLD_008_jpg.rf.9dbc6c8178cf2a57c647d2d87591a53d.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CMDdh_023_jpg.rf.fce8bb22b6986df7083e8703a7014020.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CMDdh_023_jpg.rf.ac2af033e32765204e97136eb5608763.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_0019_JPG_jpg.rf.8a536ccb14bf7bc6b484ecfb31649373.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_0020_JPG_jpg.rf.50c4aeb4c80adbfd4373ac2f796033b8.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CLD_013_jpg.rf.1261242c7339a3b6fed544d64f6668de.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_DSC_0019_JPG_jpg.rf.6a385cf4db0edaf2df8c8ca24c760bc9.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks 1_No significant damage/cropped_CLD_013_jpg.rf.9d12a9faee6de53e5dcf420d3cf6e757.jpg,0,1,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMG_8010_jpg.rf.ef5efd63ebeaa6d5592d9027b3cbc8b0.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CSD_255_jpg.rf.7b32da287d59c9017049773ee78a21d0.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0091_JPG_jpg.rf.f02a7cdc033f9636bf354cdbafff2059.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0018_JPG_jpg.rf.55fac3e4a083021fea9355efbb0fdfb2.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_IMAG0625_jpg.rf.2cbd841b8aa98dc3277afe4d577c8323.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CLD_007_jpg.rf.a8a729b9202ca83d014d37a7307fd3d7.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_DSC_0610_JPG_jpg.rf.52cbb06cabbc73a154ef57e1cadde7bb.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_CMDdh_029_jpg.rf.76ed681e35b7a3ff79354f85ae0a8d9d.jpg,0,0,0,0,0,0,0,0,0,0,1
/home/peter/kaggle/advanced_damage_classification/datasets/crack/train/10_Small cracks/cropped_image2185_jpg.rf.c21c0a3839b12d1ccf5f6be00f85cb73.jpg,0,0,0,0,0,0,0,0,0,0,1
